
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed  cell     index  customer_label
0     66.649582    5.185876  264           84        18          False    55  0.093781             172
167  111.658606  167.300753  492          151        17          False  1408  0.089898             173
158  132.766131  160.187055  437          168        18          False  1370  0.088757             174
23   113.015470  136.672428  235          158        17          False  1156  0.083316             175
128  105.544700  160.170924  229          136        17          False  1365  0.070397             176
162  133.892718  161.657105  453          172        18          False  1370  0.059394             177
78   112.163428  156.023768  281          175        18          False  1324  0.058953             178
20   126.906793  132.668087  312          165        17          False  1117  0.057337             179
186  144.818054  179.784587    8           20        18          False  1498  0.049649             180
124  137.469592  155.980309  241          158        17          False  1329  0.025872             181
185  135.000494  175.807914    5           42        18          False  1497 -0.030108             182
179  118.009142  174.106341  336          122        17          False  1451 -0.030542             183
12   142.053514  121.607298  292          162        17          False  1036 -0.058825             184
187  104.770723  184.029277  388           73        17          False  1532 -0.060394             185
190  113.692331  189.376382    6           37        17          False  1576 -0.067298             186
127  104.543988  162.682412  229          157        17          False  1364 -0.068720             187
28   138.955626  137.980264  484          133        17          False  1161 -0.161524             188
22   137.797560  130.815925  227          146        17          False  1119 -0.171101             189
191  142.686793  186.892030    8           36        17          False  1582 -0.172210             190
163  139.978095  162.066151  335          174        18          False  1371 -0.361057             191
183  128.556872  176.506226  222          160        18          False  1495 -0.569253             192
164  140.615021  162.184546  272          178        18          False  1372 -0.739973             193
192  143.415955  185.189405  490          159        18          False  1582 -1.028033             194
189  144.268485  184.539672  290          159        17          False  1540 -1.304064             195
 DAY: 15 
              x           y   kg  set_up_time  last_day  yet_postponed  cell     index  customer_label
156  122.430978  160.982004    9           21        18          False  1368  2.264537               1
154  124.497379  161.743345    5           35        18          False  1368  2.139750               2
160  125.981156  164.886403    7           22        18          False  1369  1.943933               3
177  120.740789  166.720837    6           26        18          False  1410  1.935732               4
176  122.192245  169.240466    9           26        18          False  1410  1.935732               5
113  123.523205  159.105146    6           23        18          False  1326  1.929289               6
114  121.631109  159.261438    5           34        18          False  1326  1.846670               7
164  125.449181  162.754674    5           35        18          False  1369  1.827958               8
118  121.478997  158.282850    9           38        18          False  1326  1.816627               9
99   118.693617  156.865480    7           21        18          False  1325  1.715697              10
146  116.200444  163.452598    5           40        18          False  1367  1.701608              11
151  120.120826  162.300819    7           21        19          False  1368  1.698403              12
153  121.270257  163.096309    9           25        19          False  1368  1.671663              13
98   118.279066  157.072705    8           32        18          False  1325  1.643132              14
150  122.654093  164.036507    8           31        19          False  1368  1.631552              15
116  123.464308  159.628621  494           64        18          False  1326  1.621345              16
124  125.606432  156.071299    7           44        18          False  1327  1.610937              17
111  124.404820  158.668024  397           66        18          False  1326  1.606324              18
167  128.820952  162.500004  370           61        18          False  1369  1.596008              19
157  124.073824  163.328097    9           38        19          False  1368  1.584757              20
106  117.447400  156.985366    7           43        18          False  1325  1.570567              21
130  132.879316  159.189963    7           31        18          False  1328  1.566337              22
110  123.669266  159.557588  404           77        18          False  1326  1.523704              23
115  124.698294  157.978877  231           81        18          False  1326  1.493661              24
119  120.208118  157.671082    8           19        19          False  1326  1.469500              25
117  123.322464  159.493609    6           23        19          False  1326  1.446967              26
71   121.239095  152.633224    9           15        18          False  1284  1.406803              27
143  118.187415  163.098402    9           20        19          False  1367  1.399320              28
179  126.146912  166.044559    9           32        19          False  1411  1.379424              29
77   120.064637  154.321995    7           21        18          False  1284  1.375499              30
126  126.391073  157.930799  281           80        18          False  1327  1.339998              31
102  115.085088  158.824096  484           80        18          False  1325  1.326484              32
149  122.900726  160.891351  214           78        19          False  1368  1.317356              33
122  125.378606  157.867594    7           25        19          False  1327  1.315447              34
67   124.120129  153.361288    9           34        18          False  1284  1.307672              35
89   112.441033  155.454264    9           25        18          False  1324  1.296749              36
54   128.909868  148.469257    9           15        18          False  1243  1.293132              37
168  134.456725  160.500974    6           19        19          False  1370  1.293067              38
53   128.997713  148.145409    7           17        18          False  1243  1.283635              39
93   117.148281  157.207964    5           22        19          False  1325  1.281825              40
158  121.956837  164.579430  201           84        19          False  1368  1.277245              41
100  119.074829  155.515990    8           23        19          False  1325  1.276877              42
148  117.723448  163.437544    7           40        19          False  1367  1.273145              43
40   127.923116  142.762396    6           23        18          False  1201  1.268119              44
60   117.507245  151.231320    9           16        18          False  1283  1.255864              45
133  134.781401  157.721101  332           66        18          False  1328  1.255098              46
121  128.741325  155.859148    7           36        19          False  1327  1.253357              47
129  132.204687  158.294960    8           20        19          False  1328  1.247727              48
78   128.840623  152.615474    6           37        18          False  1285  1.246154              49
91   110.541360  157.505485    9           36        18          False  1324  1.232791              50
50   127.840143  148.086039    6           30        18          False  1243  1.221910              51
142  119.870754  161.617851  204           98        18          False  1367  1.216200              52
104  116.861911  159.629749  401          102        18          False  1325  1.181353              53
137  108.985285  164.390769    6           43        18          False  1365  1.177093              54
175  116.334505  169.500619    7           39        19          False  1409  1.174793              55
52   128.149769  145.978961    5           43        18          False  1243  1.160185              56
112  120.917602  157.948181  415           79        19          False  1326  1.131512              57
188  128.629280  170.999130    7           40        18          False  1453  1.126261              58
185  115.627024  173.196735    9           24        18          False  1451  1.120610              59
165  127.873786  162.532394  354           73        19          False  1369  1.116122              60
39   121.080057  144.786423    9           33        18          False  1200  1.109168              61
127  125.165472  159.323171  345          112        18          False  1327  1.099165              62
161  125.879388  161.643110  454          117        18          False  1369  1.096424              63
38   122.798939  140.784878    5           42        18          False  1200  1.070919              64
101  118.459939  159.527682  314          119        18          False  1325  1.069207              65
141  113.676575  160.090984  392           63        19          False  1366  1.026836              66
94   118.251170  158.208754  298           74        19          False  1325  1.024549              67
66   120.069785  151.562326    5           24        19          False  1284  1.019885              68
105  118.251939  158.893418  474           76        19          False  1325  1.014653              69
128  126.956302  159.595447  455          127        18          False  1327  0.986274              70
180  131.706745  166.287386    5           20        19          False  1412  0.984879              71
155  123.025774  163.445059  354          128        19          False  1368  0.983104              72
69   120.112039  153.022789    7           36        19          False  1284  0.972928              73
73   120.655494  151.470161    9           38        19          False  1284  0.965102              74
166  129.332664  163.675720  211          132        18          False  1369  0.962607              75
152  121.590555  164.811601  429          133        19          False  1368  0.949678              76
74   122.297049  153.534171    8           42        19          False  1284  0.949449              77
139  107.575600  162.204562    9           29        19          False  1365  0.947501              78
29   125.460160  138.035267    5           37        18          False  1159  0.946952              79
120  124.468797  158.129591  298          112        19          False  1326  0.945619              80
62   115.104880  153.607208    9           15        19          False  1283  0.944704              81
87   112.643393  156.361960    7           31        19          False  1324  0.940619              82
108  116.199774  158.691899  225          140        18          False  1325  0.930674              83
169  130.964539  160.611998  359           69        19          False  1370  0.924360              84
95   116.715522  158.327602  349          142        18          False  1325  0.917480              85
178  126.260870  168.781595  382           93        19          False  1411  0.911057              86
64   116.257957  153.848797    5           26        19          False  1283  0.901889              87
41   125.713917  142.480861    8           37        19          False  1201  0.901546              88
132  130.254502  156.272210  382           73        19          False  1328  0.893977              89
140  109.299490  161.018875    7           42        19          False  1365  0.875625              90
163  125.428602  164.544879  437          109        19          False  1369  0.875088              91
59   115.069970  154.069362    6           33        19          False  1283  0.874644              92
85   105.024318  157.388368    5           19        19          False  1323  0.874118              93
138  109.215559  163.737075    9           44        19          False  1365  0.864567              94
125  126.589507  158.648570  443          105        19          False  1327  0.863882              95
47   119.218714  147.878506  317           77        18          False  1241  0.859116              96
45   118.891919  146.529319    6           16        19          False  1241  0.857500              97
187  122.965735  173.098297    5           42        19          False  1452  0.845822              98
190  124.890785  179.271401    7           27        18          False  1494  0.845254              99
61   118.807117  151.058261    5           43        19          False  1283  0.835721             100
46   119.382911  145.516379    8           23        19          False  1241  0.832796             101
103  118.639818  159.774318  241          114        19          False  1325  0.826644             102
159  128.124493  163.388623  217          118        19          False  1369  0.814830             103
58   112.673489  151.033180    5           27        19          False  1282  0.786049             104
147  119.990468  160.596198  319          119        19          False  1367  0.774754             105
107  116.077571  159.138837  241          164        18          False  1325  0.772350             106
92   110.350907  157.842804  282          116        18          False  1324  0.767640             107
75   120.235488  152.337461  298          138        18          False  1284  0.765059             108
182  135.191213  168.210386    6           32        18          False  1413  0.761103             109
83   134.071344  151.687649  278           72        18          False  1286  0.757001             110
144  118.982788  161.458604  419          125        19          False  1367  0.736902             111
123  127.987828  155.699237  262          161        18          False  1327  0.730388             112
79   126.016769  150.334374  248           86        19          False  1285  0.725813             113
96   116.522207  156.808081  344          172        18          False  1325  0.719575             114
42   128.635297  143.926598  238           90        19          False  1201  0.713987             115
81   132.832338  150.194779  445           79        18          False  1286  0.710857             116
33   137.587657  135.719888    7           43        18          False  1161  0.705782             117
136  103.217260  162.780189  443           98        18          False  1364  0.699510             118
27   124.859657  138.447290    6           43        18          False  1158  0.693418             119
97   117.932154  158.042226  235          142        19          False  1325  0.688110             120
37   121.335760  144.957838  247           79        19          False  1200  0.685256             121
162  129.338510  163.849068  352          138        19          False  1369  0.680922             122
43   131.788318  141.494348    5           33        19          False  1202  0.676586             123
32   131.568950  139.786107    9           39        19          False  1160  0.671874             124
72   120.304184  153.050465  485          115        19          False  1284  0.663795             125
30   131.221108  135.425818    9           42        19          False  1160  0.661355             126
109  119.959917  157.310352  412          150        19          False  1325  0.648529             127
68   124.230489  153.508784  332          128        19          False  1284  0.612925             128
48   122.629128  146.122260  247          160        18          False  1242  0.612520             129
76   124.225172  150.824065  267          134        19          False  1284  0.589446             130
51   129.230608  148.665155  481          127        19          False  1243  0.571009             131
12   140.048982  127.331282    6           19        18          False  1078  0.570694             132
63   117.078725  152.700577  484          119        19          False  1283  0.539911             133
49   128.604909  146.548192  477          174        18          False  1243  0.538185             134
14   100.520937  134.489744    8           29        18          False  1112  0.525137             135
36   115.024233  141.295684    9           31        19          False  1199  0.523247             136
65   119.418729  150.614380  394          162        18          False  1283  0.501579             137
134  144.772353  158.353230    7           31        18          False  1330  0.493535             138
145  115.818356  163.612814  244          167        19          False  1367  0.471934             139
18   120.782366  132.804948    7           35        18          False  1116  0.471037             140
90   113.897027  159.465424  464          168        18          False  1324  0.465293             141
88   110.459055  157.952350  397          142        19          False  1324  0.448679             142
173  101.997275  169.406544    7           41        19          False  1406  0.445325             143
56    98.104656  154.851187    7           26        18          False  1279  0.443638             144
82   130.915537  154.730278  456           97        19          False  1286  0.443363             145
35   114.078304  140.008968  491           62        19          False  1198  0.439366             146
70   123.332467  154.604551  209          174        19          False  1284  0.432923             147
22   144.098929  132.321244    6           42        18          False  1120  0.431426             148
84    99.231589  159.302427  400           74        19          False  1321  0.424124             149
20   138.663144  131.078683  208           84        19          False  1119  0.408101             150
174  111.209667  167.382048  398          154        18          False  1408  0.377467             151
0    122.769525   55.491275    9           36        18          False   486  0.357463             152
80   127.562412  153.835263  493          173        19          False  1285  0.355086             153
17   115.046868  132.828438    6           39        18          False  1115  0.333244             154
19   130.837432  134.606341  329          123        18          False  1118  0.321374             155
21   143.649069  132.962340    8           43        19          False  1120  0.310846             156
3    104.365235  112.261724    9           18        18          False   944  0.308167             157
131  133.179196  155.791944  489          173        18          False  1328  0.303595             158
183  140.062602  166.680071    9           19        18          False  1414  0.286399             159
15   103.610047  134.499324  349          153        18          False  1112  0.274563             160
28   124.593883  137.058424  354          142        19          False  1158  0.273845             161
2     61.297166   99.890628    6           30        18          False   810  0.255805             162
57   102.524389  152.457998  307          156        18          False  1280  0.246064             163
31   132.076673  135.121611  258          162        19          False  1160  0.240610             164
181  134.614621  169.205525  241          127        18          False  1412  0.237002             165
1    129.347998   59.536729  433           69        19          False   487  0.226912             166
135   86.478047  161.290001    5           24        19          False  1361  0.224599             167
44   106.545243  147.946996  221          107        19          False  1239  0.224163             168
86   109.353084  157.305406  441          171        19          False  1323  0.205346             169
25   102.498611  137.423575  256          154        18          False  1154  0.186080             170
11   143.022174  126.220554  294           99        19          False  1078  0.184231             171
170  130.827649  163.978624  204          177        18          False  1370  0.177807             172
26   110.495247  136.360989  316           90        18          False  1156  0.176934             173
10   118.748928  125.646607  414           83        19          False  1073  0.170679             174
6    163.419216  115.218948    9           40        19          False   998  0.151405             175
16   106.360731  130.978428  234          112        19          False  1113  0.138697             176
7    123.849864  120.859446  470          143        19          False  1032  0.126371             177
194  120.123514  190.578948    8           41        19          False  1620  0.106723             178
13    92.864593  131.325713  307          134        19          False  1110  0.105574             179
23   168.497986  130.704472    7           32        19          False  1125  0.093247             180
5    132.955103  117.875347  220          129        19          False   992  0.088839             181
34   104.949600  141.604729  227          164        19          False  1196  0.074597             182
171  139.285203  163.168372  256          116        19          False  1371  0.070907             183
55   132.604665  149.050396  457          160        19          False  1244  0.068937             184
8    142.644192  123.159632  263          145        18          False  1036 -0.012247             185
24   168.148191  133.071809  393          123        19          False  1125 -0.053810             186
191  132.361587  184.945732    8           37        18          False  1538 -0.061282             187
172   96.454606  169.894459  222          177        18          False  1405 -0.064695             188
189  127.174330  170.901997  219          155        19          False  1453 -0.076640             189
9    142.945047  120.275943  444          175        19          False  1036 -0.096821             190
186  122.849852  174.865220  426          174        19          False  1452 -0.132015             191
4    170.471670  113.901602  460          139        19          False   958 -0.144169             192
184  104.660987  173.465293  438          117        19          False  1448 -0.147849             193
192  106.854387  185.507385  449           88        19          False  1575 -0.223279             194
193  124.011648  188.608913  433          153        19          False  1578 -0.647310             195
 DAY: 16 
              x           y   kg  set_up_time  last_day  yet_postponed  cell     index  customer_label
151  121.034720  162.709365    5           15        19          False  1368  1.860716               1
144  121.615895  164.283457    7           19        19          False  1368  1.825216               2
108  124.376594  158.116802    5           21        19          False  1326  1.795080               3
155  126.110574  161.126440    8           39        19          False  1369  1.779233               4
112  120.394409  155.671641    6           27        19          False  1326  1.750121               5
147  124.927278  164.387376    9           30        19          False  1368  1.727593               6
161  132.369847  164.563739    8           19        19          False  1370  1.724804               7
115  121.279585  159.207860    6           31        19          False  1326  1.720149               8
149  120.406514  160.191079    7           31        19          False  1368  1.718718               9
109  124.603716  159.671138    6           38        19          False  1326  1.667697              10
138  122.475125  161.925449    5           40        19          False  1368  1.638845              11
150  122.259000  162.653603    7           43        19          False  1368  1.612220              12
79   131.964799  154.993861    6           22        19          False  1286  1.556195              13
117  127.763027  155.188539    8           34        19          False  1327  1.536175              14
69   129.732676  151.877909    5           17        19          False  1285  1.510320              15
74   133.111622  153.458596    6           29        19          False  1286  1.510037              16
121  126.264599  156.646785    8           40        19          False  1327  1.491127              17
72   131.077713  151.479341    7           32        19          False  1286  1.490254              18
156  128.708595  164.024904    7           17        20          False  1369  1.480727              19
172  121.177563  168.859885    7           42        19          False  1410  1.464084              20
170  110.663675  169.410732    6           16        19          False  1408  1.417436              21
159  126.281589  160.357446    5           28        20          False  1369  1.407114              22
71   128.223393  154.941031    8           36        19          False  1285  1.402369              23
110  121.929151  159.688412    7           18        20          False  1326  1.362554              24
65   123.919468  154.295638    5           31        19          False  1284  1.323324              25
158  127.675100  163.818987    6           41        20          False  1369  1.320115              26
100  117.018673  157.260791    6           36        19          False  1325  1.311225              27
154  125.609936  160.801417    8           44        20          False  1369  1.300039              28
93   115.325097  156.499837    8           38        19          False  1325  1.298134              29
104  116.365848  159.126767    8           38        19          False  1325  1.298134              30
98   117.841603  155.441946    9           38        19          False  1325  1.298134              31
106  124.943315  157.765532  309           89        19          False  1326  1.285546              32
94   119.632900  159.710938    6           40        19          False  1325  1.285043              33
139  122.925658  164.361967    8           32        20          False  1368  1.280694              34
132  118.683496  163.542682    8           20        20          False  1367  1.278553              35
148  120.237816  164.827926  499           81        19          False  1368  1.274977              36
97   118.252014  155.994093    6           44        19          False  1325  1.258862              37
127  134.877455  155.459169    5           21        20          False  1328  1.249961              38
126  134.778780  156.507566    5           22        20          False  1328  1.243291              39
122  125.409374  156.002370    6           20        20          False  1327  1.230296              40
141  124.157503  162.898266    5           40        20          False  1368  1.227294              41
119  127.635204  157.484420    5           21        20          False  1327  1.224656              42
143  120.307959  164.270331    6           41        20          False  1368  1.220618              43
107  124.075655  159.206194    8           44        20          False  1326  1.216210              44
76   132.618705  150.468092    5           16        20          False  1286  1.196554              45
136  116.447110  163.092232    5           34        20          False  1367  1.190035              46
135  117.819200  162.300227    5           34        20          False  1367  1.190035              47
137  122.923610  161.906864  370           91        19          False  1368  1.186228              48
178  123.295405  172.306714    5           36        19          False  1452  1.178858              49
124  129.682298  158.526403    9           34        20          False  1327  1.151336              50
102  117.886318  156.887077  213           65        19          False  1325  1.121409              51
157  126.446866  163.632524  482          113        19          False  1369  1.119874              52
44   131.125879  149.019971  305           61        19          False  1244  1.119341              53
120  128.942196  157.934765    5           41        20          False  1327  1.111857              54
111  120.394074  155.068943  244           68        20          False  1326  1.081123              55
128  136.891933  158.828683    8           36        19          False  1329  1.080729              56
99   119.480169  158.600241    5           17        20          False  1325  1.075075              57
66   121.445791  153.421735    6           15        20          False  1284  1.055103              58
123  128.751600  158.762683  370          100        19          False  1327  1.040652              59
96   115.387722  155.219285    8           24        20          False  1325  1.040545              60
167  105.104913  167.068767    5           32        19          False  1407  1.037197              61
152  121.943312  164.753345  419           69        20          False  1368  1.033716              62
61   116.611100  151.951698    9           30        19          False  1283  1.028402              63
43   128.992890  147.035479    5           41        19          False  1243  1.024958              64
78   133.248924  153.147969  413          109        19          False  1286  0.982507              65
51   115.508650  150.391535    7           39        19          False  1283  0.982191              66
163  139.195693  162.498730    8           30        19          False  1371  0.981464              67
58   119.872718  150.216629    7           40        19          False  1283  0.977056              68
101  117.009343  155.803056    9           38        20          False  1325  0.971486              69
103  116.084546  158.963254    5           41        20          False  1325  0.956688              70
30   130.035497  140.584076    5           23        19          False  1202  0.954049              71
146  122.991417  162.137577  269          118        19          False  1368  0.946608              72
180  126.150121  171.454911  474           77        19          False  1453  0.940997              73
184  134.172565  172.461344    5           35        19          False  1454  0.936598              74
77   131.849861  151.652472  224           70        20          False  1286  0.929280              75
171  118.965935  165.558692  343           93        19          False  1409  0.905367              76
176  119.115701  171.882526    9           22        20          False  1451  0.903018              77
179  129.183328  172.638691  421           82        19          False  1453  0.887205              78
73   130.382404  154.716368  349           80        20          False  1286  0.879785              79
84   105.944260  159.820055    5           20        19          False  1323  0.866932              80
91   113.411310  155.015990    5           24        20          False  1324  0.844005              81
142  122.351078  163.770685  474          130        19          False  1368  0.840110              82
177  122.301773  174.180134    9           42        20          False  1452  0.814004              83
67   124.177701  154.506943  279           80        20          False  1284  0.800752              84
49   117.387965  153.725764  319           76        19          False  1283  0.792210              85
42   127.842641  149.097912    9           35        20          False  1243  0.787426              86
63   119.459910  153.604025    5           27        20          False  1283  0.780543              87
183  130.918284  174.728045    6           22        20          False  1454  0.778132              88
90   114.727181  159.725971  350           84        19          False  1324  0.775068              89
18   123.629340  139.652327    5           22        19          False  1158  0.766916              90
113  122.476336  159.171769  282          162        19          False  1326  0.738547              91
19   127.106223  138.688630    7           17        19          False  1159  0.733296              92
57   116.694952  153.839497    5           43        20          False  1283  0.718422              93
29   130.785742  141.815234    9           23        20          False  1202  0.714119              94
36   119.342085  148.210712    8           15        19          False  1241  0.698180              95
105  117.868868  155.724048  248          131        19          False  1325  0.689414              96
82    98.120582  159.085631    7           16        19          False  1321  0.674617              97
26   126.945637  140.043220    8           40        20          False  1201  0.664008              98
41   120.591143  148.457329  345           89        19          False  1242  0.659176              99
40   120.248665  147.030579    7           42        20          False  1242  0.652251             100
188  127.022971  179.719695    8           35        20          False  1495  0.644650             101
185  131.376563  173.202210  363           63        19          False  1454  0.641226             102
62   117.359562  153.203954  310          110        19          False  1283  0.617633             103
181  133.640357  173.599045    6           42        20          False  1454  0.613968             104
59   116.013216  153.989846  468           70        20          False  1283  0.613592             105
173  136.061615  165.612325    8           23        20          False  1413  0.604038             106
114  124.463458  159.881654  469          153        20          False  1326  0.602690             107
116  129.310368  156.715303  398          159        19          False  1327  0.597684             108
130  140.832393  159.682815    5           39        19          False  1330  0.597555             109
70   126.303753  150.878822  396          145        20          False  1285  0.587303             110
52   117.875084  152.205237  387           78        20          False  1283  0.582531             111
187  127.146307  179.797928    8           44        20          False  1495  0.570252             112
31   137.671477  143.993376    9           21        20          False  1203  0.569775             113
56   119.719417  153.310166  494           82        20          False  1283  0.567001             114
175  109.656219  172.986536    9           18        20          False  1449  0.559491             115
166  104.316348  165.895435    9           34        19          False  1406  0.552557             116
168  108.958642  168.199836  209           97        19          False  1407  0.546359             117
21   144.637074  138.136178    5           16        19          False  1162  0.540918             118
75   134.608435  151.744903  474          150        20          False  1286  0.533318             119
133  116.537839  160.795640  458          141        20          False  1367  0.513501             120
45   131.626396  145.072285  341          138        20          False  1244  0.511985             121
20   127.032575  138.357005    9           32        20          False  1159  0.500233             122
32   137.877930  144.035535    8           42        20          False  1203  0.488349             123
134  118.480833  162.822494  223          146        20          False  1367  0.481887             124
39   121.989979  145.883969  290          130        19          False  1242  0.470804             125
68   124.549749  153.491798  401          165        20          False  1284  0.468141             126
38   117.418078  149.429050  247           67        19          False  1241  0.463595             127
153  126.384692  160.551348  395          169        20          False  1369  0.463517             128
118  127.455811  159.588205  265          156        20          False  1327  0.463257             129
47    99.856802  154.423132    8           43        20          False  1279  0.461605             130
92   110.242314  156.695880  367          110        20          False  1324  0.456115             131
50   116.303334  154.258475  317          143        19          False  1283  0.448191             132
27   128.199048  142.668657  413          107        20          False  1201  0.430216             133
34   103.252745  146.050754  405           67        19          False  1238  0.409961             134
11   124.247454  134.612854  203           73        19          False  1116  0.409656             135
55   119.835096  153.102307  453          124        20          False  1283  0.403932             136
35   103.987414  145.692630  434           70        19          False  1238  0.399178             137
140  121.125352  162.963844  258          166        20          False  1368  0.386232             138
182  134.543676  171.515012  210           89        19          False  1454  0.366953             139
9     99.264814  130.756845    9           39        20          False  1111  0.366585             140
28   125.367452  144.197783  467          126        20          False  1201  0.363917             141
145  121.231957  163.232407  477          171        20          False  1368  0.352856             142
131  109.301826  160.641339  482          123        20          False  1365  0.344548             143
13   125.381474  131.866354    7           31        20          False  1117  0.343870             144
14   142.949063  133.654429    6           30        19          False  1120  0.343696             145
64   118.519130  151.300877  241          140        20          False  1283  0.341811             146
37   115.727107  148.066126  337           67        20          False  1241  0.339091             147
88   111.933421  156.069990  321          137        20          False  1324  0.334336             148
80   137.367854  150.906058  365          130        20          False  1287  0.323840             149
95   115.119329  158.154487  242          170        20          False  1325  0.320358             150
191  131.086820  183.728855    6           36        20          False  1538  0.320275             151
87   112.036843  159.883621  468          143        20          False  1324  0.307274             152
125  133.498784  155.915948  382          175        19          False  1328  0.301362             153
53   118.331229  150.271583  213          152        20          False  1283  0.295220             154
33    99.325867  149.260109  381           60        20          False  1237  0.290197             155
10   100.467313  133.288957    9           25        20          False  1112  0.287350             156
46   139.110382  149.588603  245          133        19          False  1245  0.280617             157
89   114.485264  156.166571  466          169        19          False  1324  0.270578             158
160  133.705605  160.954729  369          170        19          False  1370  0.257648             159
22    88.025105  141.396970    8           26        19          False  1193  0.254647             160
12   128.962134  130.917848  408          105        19          False  1117  0.251785             161
169  113.340294  168.951512  449          143        20          False  1408  0.246453             162
17   117.076878  138.188281  299           88        19          False  1157  0.241163             163
4     98.801412  123.415290  329           75        19          False  1027  0.239951             164
60   118.418190  150.509030  337          169        20          False  1283  0.229216             165
54   118.423954  154.407499  384          170        20          False  1283  0.225333             166
8     90.455788  133.339361  270          148        19          False  1110  0.221247             167
190  122.740183  182.480472  393           67        20          False  1536  0.217998             168
5    102.571345  123.542399  307          100        19          False  1028  0.217081             169
24   112.811882  140.407626    8           25        20          False  1198  0.211253             170
129  138.327881  156.236997  429          127        20          False  1329  0.203588             171
16   117.864655  137.368003  368           73        20          False  1157  0.198199             172
164   97.009671  169.889801  475          120        20          False  1405  0.192402             173
189  138.879516  176.987990    9           43        19          False  1497  0.191344             174
1    110.195244  111.240462  298           82        20          False   946  0.182942             175
81    92.302992  157.018295  359          155        19          False  1320  0.159716             176
7    103.999626  129.470444  201          163        19          False  1070  0.149019             177
3    169.810878  115.902505    7           26        19          False   999  0.125324             178
0    128.278784   96.526524  416          145        20          False   823  0.124002             179
186  127.710440  179.667115  494           98        20          False  1495  0.123865             180
6    120.713514  124.119830  464          168        20          False  1032  0.107550             181
193  139.482303  187.552261    5           30        20          False  1581  0.103762             182
48   107.959999  150.667254  239          117        19          False  1281  0.081837             183
194  123.228128  192.945957  284           77        20          False  1620  0.056115             184
25   111.382172  140.592385  496          102        19          False  1198  0.042094             185
86   105.985926  157.615369  214          162        20          False  1323  0.025973             186
23   114.135919  141.843649  375          112        19          False  1198  0.009877             187
83   108.653847  158.470412  420          169        20          False  1323 -0.004376             188
85   105.301267  159.999008  381          175        20          False  1323 -0.030389             189
15   147.424523  130.843547  370          128        19          False  1121 -0.054963             190
2    166.474625  115.685362  461          110        19          False   999 -0.075911             191
174  138.125193  168.368023  258          119        19          False  1413 -0.111204             192
162  139.473695  160.069368  315          143        20          False  1371 -0.126963             193
165  100.959785  168.633713  324          172        20          False  1406 -0.281167             194
192  129.433020  188.527343  316          126        20          False  1579 -0.328746             195
 DAY: 17 
              x           y   kg  set_up_time  last_day  yet_postponed  cell     index  customer_label
132  130.944039  156.426294    8           18        20          False  1328  1.843915               1
116  120.496447  156.786959    8           16        20          False  1326  1.831170               2
109  120.976019  157.106900    8           18        20          False  1326  1.816188               3
127  129.675629  159.916884    5           19        20          False  1327  1.801768               4
119  128.090481  155.857815    8           20        20          False  1327  1.794261               5
131  131.117829  157.479343    9           26        20          False  1328  1.772820               6
117  128.607366  156.895553    5           25        20          False  1327  1.756729               7
118  129.885397  156.913909    6           27        20          False  1327  1.741716               8
148  121.217060  162.023078    8           16        20          False  1368  1.712366               9
151  122.958336  164.170754    7           16        20          False  1368  1.712366              10
156  126.520300  161.595761    7           15        20          False  1369  1.702565              11
124  129.373942  155.941465    7           33        20          False  1327  1.696678              12
125  129.657464  159.951899    9           37        20          False  1327  1.666653              13
112  122.733221  155.059801    8           41        20          False  1326  1.643896              14
76   132.926372  152.428143    9           19        20          False  1286  1.577553              15
149  124.622137  163.569381    7           34        20          False  1368  1.556712              16
166  133.151781  161.718861    6           38        20          False  1370  1.538931              17
175  127.012421  165.945287    6           33        20          False  1411  1.533229              18
147  122.809519  161.963050    5           38        20          False  1368  1.522123              19
77   130.191576  152.485292    6           28        20          False  1286  1.518253              20
